"Story","Title","Result","Date","Stability","Duration (s)"
"As an user I want to see many job on job page So that i can see existing many jobs","As an user i have be able to see existing many jobs","SUCCESS","2022-03-23T20:18:57.691+07:00[Asia/Bangkok]","0.0","0.17"
"As an user I want to see existing learn on learning page So that i can see many learning","As an user i have be able to see many existing learn","SUCCESS","2022-03-23T20:18:58.057+07:00[Asia/Bangkok]","0.0","0.11"
"As an user I want to see my home page So that i can update my profile","As user i have be able to success login","SUCCESS","2022-03-23T20:18:58.236+07:00[Asia/Bangkok]","0.0","0.18"
"As an user I want to see my home page So that i can update my profile","As a user I have failed in trying to login (invalid username and valid password)","SUCCESS","2022-03-23T20:18:58.456+07:00[Asia/Bangkok]","0.0","0.06"
"As an user I want to see my home page So that i can update my profile","As a user I have failed in trying to login (valid username and invalid password)","SUCCESS","2022-03-23T20:18:58.575+07:00[Asia/Bangkok]","0.0","0.16"
"As an user I want to see my home page So that i can update my profile","As a user I have failed in trying to login (invalid username and password)","SUCCESS","2022-03-23T20:18:58.796+07:00[Asia/Bangkok]","0.0","0.13"
"As an user I want to search people So that i can add new friend","As user i have be able to search people","SUCCESS","2022-03-23T20:18:58.972+07:00[Asia/Bangkok]","0.0","0.12"
"As a user I want to sign up using my email account and google So that i can login to the app","As user i have be able to success sign up with email","SUCCESS","2022-03-23T20:18:59.155+07:00[Asia/Bangkok]","0.0","0.16"
"As a user I want to sign up using my email account and google So that i can login to the app","As user i have be able to success sign up with google","SUCCESS","2022-03-23T20:18:59.381+07:00[Asia/Bangkok]","0.0","0.06"
"As a user I want to sign up using my email account and google So that i can login to the app","As user i have failed to trying to sign up with email (password does not match)","SUCCESS","2022-03-23T20:18:59.485+07:00[Asia/Bangkok]","0.0","0.12"
"As a user I want to sign up using my email account and google So that i can login to the app","As user i have failed to trying to sign up with email (invalid number and valid password)","SUCCESS","2022-03-23T20:18:59.635+07:00[Asia/Bangkok]","0.0","0.14"
"As a user I want to sign up using my email account and google So that i can login to the app","As user i have failed to trying to sign up with email (invalid email and valid password)","SUCCESS","2022-03-23T20:18:59.843+07:00[Asia/Bangkok]","0.0","0.11"
