"Story","Title","Result","Date","Stability","Duration (s)"
"As user i want to see categories and add new categories","GET - As a user I want to get all categories","SUCCESS","2022-05-14T01:24:47.127+07:00[Asia/Bangkok]","0.0","7.41"
"As user i want to see categories and add new categories","POST - As a user I want to create new categories with valid data","SUCCESS","2022-05-14T01:24:54.572+07:00[Asia/Bangkok]","0.0","1.67"
"As user I want to see home page So that i can buy product","POST - As a user I success to login with valid data","SUCCESS","2022-05-14T01:24:56.303+07:00[Asia/Bangkok]","0.0","0.52"
"As user I want to see home page So that i can buy product","POST - As a user I failed to login with empty data","SUCCESS","2022-05-14T01:24:56.831+07:00[Asia/Bangkok]","0.0","0.34"
"As user i want to see product and create new product","GET - As a user I want to get detail product","SUCCESS","2022-05-14T01:24:57.21+07:00[Asia/Bangkok]","0.0","1.95"
"As user i want to see product and create new product","GET - As a user I fail to get detail product","SUCCESS","2022-05-14T01:24:59.167+07:00[Asia/Bangkok]","0.0","1.19"
"As user i want to see product and create new product","POST - As a user I want to post product","SUCCESS","2022-05-14T01:25:00.362+07:00[Asia/Bangkok]","0.0","0.38"
"As user i want to create account So that i can login and see home page","POST - As a user I success to create account with valid data","SUCCESS","2022-05-14T01:25:00.772+07:00[Asia/Bangkok]","0.0","1.02"
"As user i want to create account So that i can login and see home page","POST - As a user I failed to create account with empty data","SUCCESS","2022-05-14T01:25:01.801+07:00[Asia/Bangkok]","0.0","0.33"
"As user i want to make transactions","As a user I want to see all transaction with authorization","SUCCESS","2022-05-14T01:25:02.161+07:00[Asia/Bangkok]","0.0","0.67"
"As user i want to make transactions","As a user I want to see all transaction with not input token","SUCCESS","2022-05-14T01:25:02.834+07:00[Asia/Bangkok]","0.0","0.81"
