"Story","Title","Result","Date","Stability","Duration (s)"
"As user I want to login So that i can see home page","As user i have be able to success login","SUCCESS","2022-05-13T20:59:54.129+07:00[Asia/Bangkok]","0.0","20.13"
"As user I want to login So that i can see home page","As user i have failed to login with invalid password","SUCCESS","2022-05-13T21:00:15.108+07:00[Asia/Bangkok]","0.0","17.5"
"As user I want to login So that i can see home page","As user i have failed to login with invalid email","SUCCESS","2022-05-13T21:00:33.412+07:00[Asia/Bangkok]","0.0","14.04"
"As user I want to login So that i can see home page","As user i have failed to login with not input data","SUCCESS","2022-05-13T21:00:48.31+07:00[Asia/Bangkok]","0.0","13.8"
"As a user I want to buy items in the home page","As user i have be able to buy items","SUCCESS","2022-05-13T21:01:02.947+07:00[Asia/Bangkok]","0.0","14.39"
"As a user I want to buy items in the home page","As user i want to verify quantity working or not","SUCCESS","2022-05-13T21:01:18.43+07:00[Asia/Bangkok]","0.0","15.08"
"As user i want to create account So that i can login","As user i have be able to success crete account","SUCCESS","2022-05-13T21:01:34.325+07:00[Asia/Bangkok]","0.0","14.04"
"As user i want to create account So that i can login","As user i have failed to create account with registered data","SUCCESS","2022-05-13T21:01:49.161+07:00[Asia/Bangkok]","0.0","12.69"
"As a user I want to pay for all items in the basket","As user i have be able to success pay all items","SUCCESS","2022-05-13T21:02:02.641+07:00[Asia/Bangkok]","0.0","22.3"
"As a user I want to pay for all items in the basket","As user i have fail to pay all items with not login","SUCCESS","2022-05-13T21:02:25.72+07:00[Asia/Bangkok]","0.0","14.28"
